"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","11 Nov 2024","22590.1","22770.55","22478.7","22591.40"
"NIFTY 500","08 Nov 2024","22821.9","22857.1","22600.25","22645.65"
"NIFTY 500","07 Nov 2024","23067.15","23073.55","22793.9","22806.25"
"NIFTY 500","06 Nov 2024","22782.2","23052.2","22720.3","23031.20"
"NIFTY 500","05 Nov 2024","22458.3","22697.5","22343.95","22679.85"
"NIFTY 500","04 Nov 2024","22831.8","22832.65","22362.65","22518.30"
"NIFTY 500","01 Nov 2024","22806.95","22881.5","22799.7","22823.55"
"NIFTY 500","31 Oct 2024","22758.6","22779.5","22621.1","22689.35"
"NIFTY 500","30 Oct 2024","22731.15","22896.55","22685.4","22749.80"
"NIFTY 500","29 Oct 2024","22670.8","22808.8","22450","22795.05"
"NIFTY 500","28 Oct 2024","22548.7","22756.05","22407","22649.95"
"NIFTY 500","25 Oct 2024","22819.8","22839.2","22362.8","22499.05"
"NIFTY 500","24 Oct 2024","22841.85","22893.2","22747.55","22787.85"
"NIFTY 500","23 Oct 2024","22751.8","22989.05","22673.3","22841.10"
"NIFTY 500","22 Oct 2024","23277.1","23306.2","22789.7","22814.45"
"NIFTY 500","21 Oct 2024","23527.6","23559.05","23224.55","23263.25"
"NIFTY 500","18 Oct 2024","23285.65","23471.2","23120.95","23440.70"
"NIFTY 500","17 Oct 2024","23717.3","23720.15","23366","23377.00"
"NIFTY 500","16 Oct 2024","23702.85","23768.15","23588.8","23673.15"
"NIFTY 500","15 Oct 2024","23800.4","23814.95","23662.3","23735.70"
"NIFTY 500","14 Oct 2024","23670.5","23740.2","23646.1","23727.05"
"NIFTY 500","11 Oct 2024","23608.3","23654","23546.3","23611.25"
"NIFTY 500","10 Oct 2024","23695.55","23755.5","23580.6","23598.15"
"NIFTY 500","09 Oct 2024","23600.1","23797.45","23570.7","23599.60"
"NIFTY 500","08 Oct 2024","23175.2","23544.8","23106.5","23512.55"
"NIFTY 500","07 Oct 2024","23616.35","23659.65","23089.5","23181.95"
