Date,Price,Change 
2016-01-25,34679.00,1.17
2016-01-27,35296.00,1.78
2016-01-28,34806.00,-1.39
2016-01-29,34750.00,-0.16
2016-02-01,34870.00,0.35
2016-02-02,34805.00,-0.19
2016-02-03,35732.00,2.66
2016-02-04,35829.00,0.27
2016-02-05,35806.00,-0.06
2016-02-08,37127.00,3.69
2016-02-09,37248.00,0.33
2016-02-10,36780.00,-1.26
2016-02-11,38288.00,4.10
2016-02-12,37984.00,-0.79
2016-02-15,37088.00,-2.36
2016-02-16,37219.00,0.35
2016-02-17,37197.00,-0.06
2016-02-18,37522.00,0.87
2016-02-19,37517.00,-0.01
2016-02-22,36981.00,-1.43
2016-02-23,37176.00,0.53
2016-02-24,37230.00,0.15
2016-02-25,37207.00,-0.06
2016-02-26,36250.00,-2.57
2016-02-29,36081.00,-0.47
2016-03-01,35621.00,-1.27
2016-03-02,36051.00,1.21
2016-03-03,36304.00,0.70
2016-03-04,36821.00,1.42
2016-03-07,37569.00,2.03
2016-03-08,37427.00,-0.38
2016-03-09,37223.00,-0.55
2016-03-10,37670.00,1.20
2016-03-11,37610.00,-0.16
2016-03-14,37420.00,-0.51
2016-03-15,37077.00,-0.92
2016-03-16,36899.00,-0.48
2016-03-17,38143.00,3.37
2016-03-18,37756.00,-1.01
2016-03-21,37864.00,0.29
2016-03-22,37864.00,0.00
2016-03-23,36766.00,-2.90
2016-03-24,36669.00,-0.26
2016-03-28,36563.00,-0.29
2016-03-29,36560.00,-0.01
2016-03-30,36329.00,-0.63
2016-03-31,36751.00,1.16
2016-04-01,35922.00,-2.26
2016-04-04,35581.00,-0.95
2016-04-05,36082.00,1.41
2016-04-06,35986.00,-0.27
2016-04-07,36382.00,1.10
2016-04-08,36671.00,0.79
2016-04-11,37764.00,2.98
2016-04-12,38312.00,1.45
2016-04-13,38563.00,0.66
2016-04-14,38306.00,-0.67
2016-04-15,38507.00,0.52
2016-04-18,38322.00,-0.48
2016-04-19,39747.00,3.72
2016-04-20,40132.00,0.97
2016-04-21,40086.00,-0.11
2016-04-22,39985.00,-0.25
2016-04-25,40102.00,0.29
2016-04-26,40190.00,0.22
2016-04-27,40565.00,0.93
2016-04-28,41044.00,1.18
2016-04-29,41566.00,1.27
